Movie_Title,Week1_Avg,Week2_Avg,Week3_Avg
스트레인지 월드,0.0,0.0,0.0
에브리씽 에브리웨어 올 앳 원스+,8.6,8.44,8.284023668639053
캐리와 슈퍼콜라,8.810344827586206,8.875,8.773809523809524
에어,0.0,0.0,0.0
어메이징 모리스,8.115384615384615,7.922330097087379,7.848739495798319
블랙폰,6.761904761904762,6.892655367231638,6.944723618090452
스마일,0.0,0.0,0.0
추락의 해부,8.436363636363636,8.488888888888889,8.427480916030534
뉴 노멀,,,
비키퍼,7.945783132530121,7.820388349514563,7.814814814814815
엘비스,9.37962962962963,9.289855072463768,9.245989304812834
스노우 폭스: 썰매개가 될 거야!,9.25,9.133333333333333,8.8125
화사한 그녀,7.44,7.035087719298246,7.033898305084746
방탄소년단: 옛 투 컴 인 시네마,9.728571428571428,9.704545454545455,9.73469387755102
"여름을 향한 터널, 이별의 출구",7.48,7.214285714285714,7.25
파벨만스,9.0,9.056410256410256,9.013636363636364
엑소시스트: 믿는 자,3.9583333333333335,4.035714285714286,4.103448275862069
챌린저스,8.413793103448276,8.321585903083701,8.364341085271318
샤잠! 신들의 분노,6.677852348993288,6.712389380530974,6.713725490196079
치킨래빗: 잃어버린 보물을 찾아서,9.363636363636363,9.285714285714286,9.285714285714286
보 이즈 어프레이드,7.211864406779661,7.2781456953642385,7.44
도티와 영원의 탑,9.761904761904763,9.772727272727273,9.772727272727273
쏘우 X,8.755555555555556,8.5,8.310344827586206
