Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors,movieCd,fd_rank,w1_rank,w2_rank,w1_au,w2_au,w3_au
147.0,오멘: 저주의 시작,2024-04-03,1859296182.0,0.001,1859296182.0,180695.0,180695.0,644.0,16507.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,공포(호러),아르카샤 스티븐슨,"넬 타이거 프리,타우픽 바롬,소냐 브라가,랄프 이네슨,빌 나이",20247673,4,3,6,101948,152690,177093
148.0,오펀: 천사의 탄생,2022-10-12,1808746476.0,0.001,1808746476.0,177880.0,177880.0,707.0,20180.0,미국,미국,,메가박스중앙(주),15세이상관람가,"공포(호러),스릴러",윌리엄 브렌트 벨,"이사벨 퍼만,줄리아 스타일즈,로지프 서덜랜드",20227304,3,5,7,115028,161590,173750
149.0,극장판 엄마 까투리: 도시로 간 까투리 가족,2022-09-08,1609124999.0,0.001,1609124999.0,173896.0,173896.0,616.0,9459.0,한국,한국,(주)퍼니플럭스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,정길훈,"김서영,이윤희,김은아,전해리,이지현,양정화,홍범기,엄상현,이현,이명호",20226444,8,5,12,100240,145052,165387
150.0,퍼피 구조대: 더 마이티 무비,2023-10-06,1566183076.0,0.001,1566183076.0,172545.0,172545.0,566.0,9675.0,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처",캘런 브런커,"정선혜,박지윤,신용우,문남숙,엄상현",20234253,8,14,19,81269,118424,139982
151.0,플라워 킬링 문,2023-10-19,1588789082.0,0.001,1588789082.0,167914.0,167914.0,719.0,14605.0,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,"범죄,드라마",마틴 스코세이지,"레오나르도 디카프리오,로버트 드 니로",20232894,2,4,9,95306,136989,156048
153.0,마루이 비디오,2023-02-22,1705521500.0,0.001,1705521500.0,165892.0,165892.0,284.0,8962.0,한국,한국,"(주)발포플랜,(주)브라더픽처스","씨제이 씨지브이(CJ CGV)(주),(주)케이티알파",15세이상관람가,"미스터리,공포(호러)",윤준형,"서현우,조민경,임한성,안현빈,안민영,장세원,김승비,이옥봉,이익수,김학준,김우진,윤효진,황연희,나종기,김진혁,박은홍,서성광,이새로미,곽민준,황기석,허종오,이정철,황대중,안재만,김종대,백인우,강민지",20202026,5,5,12,121557,155978,162802
154.0,"포켓몬스터: 성도지방 이야기, 최종장",2024-05-01,1384022257.0,0.001,1384022257.0,157102.0,157102.0,710.0,9484.0,일본,일본,,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,애니메이션,유야마 쿠니히코,,20249313,4,8,12,133268,151916,156584
155.0,가여운 것들,2024-03-06,1561295765.0,0.001,1561295765.0,156105.0,156105.0,471.0,12023.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,청소년관람불가,"드라마,코미디,멜로/로맨스",요르고스 란티모스,"엠마 스톤,마크 러팔로,윌렘 데포",20236732,3,3,4,79102,116081,139406
157.0,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,1301016791.0,0.0,1301016791.0,141354.0,141354.0,626.0,6835.0,기타,기타,,메가박스중앙(주),전체관람가,애니메이션,알렉세이 트시칠린,,20228829,5,7,12,95172,133380,138527
159.0,아가일,2024-02-07,1442627957.0,0.001,1442627957.0,140533.0,140533.0,841.0,15934.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,코미디",매튜 본,"헨리 카빌,브라이스 달라스 하워드,샘 록웰,브라이언 크랜스톤,캐서린 오하라,두아 리파,아리아나 데보스,존 시나,사무엘 L. 잭슨",20234581,5,7,10,117426,138800,140439
160.0,극장판 슈퍼윙스: 맥시멈 스피드,2023-07-20,1192070958.0,0.0,1192070958.0,135976.0,135976.0,407.0,6202.0,한국,한국,(주)퍼니플럭스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,정길훈,"문남숙,장은숙,최보배,전태열,이재범,엄상현",20232639,9,8,10,66565,114209,128797
