Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors,movieCd,fd_rank,w1_rank,w2_rank,w1_au,w2_au,w3_au,w1_av_sc,w2_av_sc,w3_av_sc,Distributor_Sc,Director_code
26.0,웨스트 사이드 스토리,2022-01-12,1225528640.0,0.005,1232083640.0,122706.0,123143.0,754.0,15317.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"드라마,뮤지컬",스티븐 스필버그,"안셀 엘고트,레이첼 지글러,아리아나 데보스,데이비드 알바즈,마이크 파이스트",20193082,3,5,8,88494,22937,2611,129.89263996645,56.43550087873463,154.88983050847455,A,10039450
29.0,앰뷸런스,2022-04-06,1142534110.0,0.004,1142534110.0,114739.0,114739.0,1033.0,23377.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄",마이클 베이,"제이크 질렌할,야히아 압둘 마틴 2세,에이사 곤잘레스",20212724,1,3,5,91536,19745,984,99.66588894073728,44.57110609480813,26.49230769230769,B,10023100
30.0,서울괴담,2022-04-27,1073718490.0,0.004,1073718490.0,112470.0,112470.0,474.0,8989.0,한국,한국,"쟈니브로스(주),플러스엠 엔터테인먼트",플러스엠 엔터테인먼트,15세이상관람가,공포(호러),홍원기,"김도윤,봉재현,서지수,김현정,셔누,최예원,알렉산드라 크리스틴 슈나이더만,추소정,오륭,이민혁,이수민,이열음,이영진,이호원,정원창,주학년",20217982,3,3,6,71067,26854,12425,165.27209302325582,195.81041666666667,102.44405182567728,A,20382255
32.0,안테벨룸,2022-02-23,899691250.0,0.003,899691250.0,95983.0,95983.0,638.0,14011.0,미국,미국,,(주)올스타엔터테인먼트,15세이상관람가,"미스터리,스릴러","제라드 부시,크리스토퍼 렌즈","자넬 모네,잭 휴스턴,지나 말론",20212741,3,4,4,68040,16722,6491,115.15473887814312,44.104747550866605,67.31407407407406,C,20380762
33.0,스텔라,2022-04-06,853798300.0,0.003,853798300.0,94213.0,94213.0,690.0,17674.0,한국,한국,(주)데이드림엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,"코미디,드라마",권수경,"손호준,이규형,허성태,전노민,이중옥,고규필,김슬기,박세영,신신애,박영규,이연수,김견우,배제기,문수아,주석제,노정현,서동원,장정연,이주원,이효제,최서연,곽지혜,이효비,정시율,박정환,정수한,김영희,김도연,서문호,박상원,서은지,유병선,김건,손민준,천석현,이성우,이도군,김득겸,박재한,박진우,김현우,오채은,문수영,윤태인,나승현,양대성,유영복,신치영,오정환,박경현,김연정,김은경,김지은,이가영,홍근택,강민구,이한종,유용국,임종화,윤현길,최홍락,장현진,이한결,김희수,정영록,이민호,박종범,백옥균,허유리,박정인,임형준,성병숙,윤제문,최병모,이수형,이승호",20196906,4,2,4,68483,22856,1862,108.18799368088467,47.95923261390888,28.396514161220043,A,10002413
34.0,스펜서,2022-03-16,781131330.0,0.003,781131330.0,82989.0,82989.0,730.0,16502.0,영국,영국,,"(주)영화특별시에스엠씨,그린나래미디어(주)",12세이상관람가,드라마,파블로 라라인,"크리스틴 스튜어트,샐리 호킨스,티모시 스폴,숀 해리스,잭 파딩,잭 닐렌,프레디 스프라이,스텔라 고넷",20210541,3,4,6,50973,19259,6121,75.80433397068197,52.27336176812719,61.122681883024256,C,20262530
35.0,인민을 위해 복무하라,2022-02-23,709334190.0,0.003,709334190.0,79105.0,79105.0,598.0,12221.0,한국,한국,"주식회사 표범영화사,(유)조이앤시네마",(주)제이앤씨미디어그룹,청소년관람불가,"멜로/로맨스,드라마",장철수,"연우진,지안,조성하,정규수,김병만,장해민,장광,유순철,백수련,오용,리민,한일규,김용호,박성도,김요한,권성일,박우준,최승원,김상겸,조현섭,박진성,김준호,김효석,이상윤,칸,강민혁,김석,김세인,박이건,양우리,오희성,이재호,정태혁,최승두,윤현수,이로운,백승현,박성호",20208006,4,5,5,57602,12307,3956,106.30477194832584,37.19732297063904,55.16334661354582,D,10060556
36.0,그대가 조국,2022-05-25,679231490.0,0.003,679231490.0,72082.0,72082.0,496.0,3655.0,한국,한국,(주)켈빈클레인프로젝트,(주)엣나인필름,12세이상관람가,다큐멘터리,이승준,조국,20224634,3,3,3,189737,108173,21281,382.424128995105,486.3269107257546,282.1344696969697,B,10056267
42.0,나의 촛불,2022-02-10,405835950.0,0.001,405835950.0,42123.0,42123.0,294.0,4337.0,한국,한국,주기자 유한회사,트윈플러스파트너스(주),전체관람가,다큐멘터리,"김의성,주진우","박영수,손석희,심상정,유시민,윤석열,추미애,고영태",20205261,3,8,31,29923,7900,2500,115.78828081813155,52.16981132075472,65.78947368421052,D,10005383
43.0,나이트메어 앨리,2022-02-23,401511820.0,0.001,401511820.0,40679.0,40679.0,461.0,6400.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"범죄,드라마,스릴러",기예르모 델 토로,"브래들리 쿠퍼,케이트 블란쳇,토니 콜렛,윌렘 데포,리차드 젠킨스,루니 마라,론 펄먼,메리 스틴버겐,데이빗 스트라탄",20223743,5,7,7,27705,7785,3390,68.31102500880591,51.12101313320826,59.02985074626866,A,10003461
46.0,어나더 라운드,2022-01-19,333228390.0,0.001,335831390.0,35932.0,36204.0,175.0,3427.0,기타,기타,,(주)엣나인필름,15세이상관람가,"코미디,드라마",토마스 빈터베르그,"매즈 미켈슨,토마스 보 라센",20219626,11,10,10,14589,7934,6926,88.6484375,172.47826086956522,133.55922865013775,B,10080479
54.0,시라노,2022-02-23,203932200.0,0.001,203932200.0,24751.0,24751.0,195.0,3688.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"멜로/로맨스,뮤지컬,드라마",조 라이트,"피터 딘클리지,헤일리 베넷,켈빈 해리슨 주니어",20212708,7,12,10,18078,2552,748,106.43061396131202,26.86315789473684,43.63333333333333,B,10065000
59.0,리코리쉬 피자,2022-02-16,213876700.0,0.001,213876700.0,21188.0,21188.0,222.0,3650.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"멜로/로맨스,드라마",폴 토마스 앤더슨,"알라나 하임,쿠퍼 호프만,숀 펜,톰 웨이츠,브래들리 쿠퍼,베니 사프디",20223302,7,11,20,13342,4033,1451,65.67791842475386,43.43230769230769,48.13744075829384,B,10083853
61.0,우연과 상상,2022-05-04,197568200.0,0.001,198632200.0,19987.0,20120.0,56.0,1774.0,일본,일본,,"그린나래미디어(주),(주)영화사 안다미로",15세이상관람가,"드라마,멜로/로맨스",하마구치 류스케,"현리,나카지마 아유무,시부카와 키요히코,우라베 후사코,카와이 아오바",20210962,7,7,16,10379,5435,3399,205.23446327683612,106.2709497206704,80.11111111111111,C,20111755
