w1_au,w2_au,w1_av_sc,slope,nt_ch
26428,4977,78.32176121930567,-8.582206683475208,-32.042729215870374
26488,4037,154.77128547579298,-9.39858980433222,-38.48941059676071
13194,8730,215.28671328671328,-1.6503693622291729,-5.869323137132298
26375,3412,60.63218390804597,-4.622484525144969,-19.73284715767972
19326,5960,86.22179732313573,-4.539862524500253,-17.91845015166237
11438,6531,126.68670886075952,-8.29619996209817,-32.439363007009405
12696,6919,215.7087378640777,1.337860171508326,1.4712808444177057
23250,3554,156.4903846153846,-5.234994375397611,-24.730604926704373
13737,5087,105.4375,-1.477883464129229,-13.620259754866147
17555,6198,128.40647857889238,-0.9079351634601316,-10.196728115287897
8682,5608,197.9609120521173,0.6971518687141202,1.4970057295069097
13810,6494,171.40070921985816,-4.995105611634396,-21.91800602511409
12054,4859,152.58227848101265,-6.632172220779308,-27.49820836522144
19377,2844,87.79223300970875,-4.048227738687471,-22.593167984076416
14982,4578,92.72679045092838,-5.317608965482889,-28.047727767500312
18425,3533,180.6372549019608,-5.572981281579318,-16.463349881395217
13798,4435,264.6191780821917,-1.4638557318640473,-9.94399592039111
20749,2247,97.80673400673398,-7.560793078860395,-32.319262825690366
16412,4445,60.11721611721612,-2.6190052057576025,-14.357686843397635
3087,1798,61.56410256410256,-6.208244155665716,-21.67991450067165
14753,3477,91.0679012345679,-7.970512578422306,-28.357826488268188
3813804,1243795,1467.4120815698343,-13.750888526865245,-39.281033897508536
4170888,2842549,1778.1969669285584,-3.90305854442874,-7.741406997423624
750214,372416,450.4630296791904,8.134431350904688,31.057861354738264
533800,283684,262.7337927155112,-6.066411189676588,-22.692308526641504
523323,221633,232.839318629632,-12.17375942992469,-47.701359406930784
329522,198830,303.9069828722003,-0.862456462163348,-2.930791069851267
408342,233037,356.3193717277487,6.326086048343214,23.70262687591901
416569,225520,290.9291629252719,-5.001497769368391,-17.72314160376498
432894,147053,376.7103431128792,-4.976706758714454,-13.882052288224656
211998,113684,314.53709198813056,-2.125391298522859,-10.584858928773862
273463,129211,220.6109254350581,-3.9466730685830216,-12.36015939643488
344019,94124,217.1641266119578,-7.9537339928935165,-31.401886356666157
271889,146255,282.5449821852731,-2.3139489381802627,-11.999587512675795
271916,88315,277.7487231869254,-1.9062338658975224,-12.38812517137022
253279,88439,213.73755274261603,-4.263305643481743,-20.55384259548959
264774,71776,386.2897040433514,-11.1483577992106,-32.9749213786142
137576,77078,177.7139693670419,-1.2303022133745587,-4.003093914489213
163441,49149,167.87776962582538,-1.8050329791952977,-10.728911895482788
150109,37025,141.0420134228188,-3.553190733516196,-23.36447843581117
