Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
5660,"4월 다큐, 싶다(다큐, 싶다)",,55000,0,55000,11,11,1,1,한국,한국,,,,다큐멘터리,,
5660,8월 단편 상상극장-장르: 힙합,,88000,0,88000,11,11,1,3,한국,한국,,,,기타,,
5660,"9월 수요단편극장 - 특별한 조합, 특별한 케미 : 그 가족의 사정",,85000,0,85000,11,11,1,1,한국,한국,,,,기타,,
5660,SEFF2019 마지막 돼지+매직 알프스,,60000,0,60000,11,11,1,1,기타,기타,,,,기타,,
5660,SICAF2018 경쟁: 단편1,,55000,0,55000,11,11,1,1,기타,기타,,,,애니메이션,,
5660,SIFFF 2019 마거릿 풀턴의 호주음식문화사 + 호주단편선,,77000,0,77000,11,11,1,2,호주,호주,,,,기타,,
5660,[네마프2018] 글로컬 단편 2 - 장르의 가능성 II,,55000,0,55000,11,11,1,1,기타,기타,,,,기타,,
5660,[인디포럼2018] 포워드 03 김숙현의 실험과 현재,,75000,0,75000,11,11,1,2,한국,한국,,,,기타,,
5660,가장자리의 사람들,,54000,0,54000,11,11,1,1,프랑스,프랑스,,,,다큐멘터리,,
5660,"가족, 그 복잡하고도 미묘한 관계",,55000,0,55000,11,11,1,2,한국,한국,,,,드라마,,
5660,광인,,55000,0,273000,11,53,1,9,한국,한국,,,,기타,"조재형,윤수안",
5660,내일 울련다,,22000,0,480000,11,240,1,1,미국,미국,,,,"기타,드라마",다니엘 만,"수잔 헤이워드,리차드 콘테"
5660,델타포스2,1991-09-20 00:00:00,22000,0,180000,11,90,1,1,미국,미국,,,고등학생이상관람가,"액션,범죄",아론 노리스,"척 노리스,빌리 드라고"
5660,메모리즈,2019-04-25 00:00:00,38000,0,38000,11,11,5,10,한국,한국,㈜리필름,㈜리필름,전체관람가,"드라마,가족,판타지",이수성,"이선구,한주영,안민영,고원,김민혁,이승룡,한주영,홍가,김도연"
5660,미쓰 홍당무,2008-10-16 00:00:00,110000,0,3604288500,11,539121,1,1,한국,한국,모호필름,(주)벤티지홀딩스,청소년관람불가,"드라마,코미디",이경미,"공효진,이종혁,서우,황우슬혜,방은진,배성우,서영주,서보익,라미란,김희영,박지수,정준수,장진영,장혜진,양현진,최희진,봉준호,박찬욱,정정훈"
5660,미안해 사랑이라 불러서,2020-02-20 00:00:00,14000,0,14000,11,11,5,11,스페인,스페인,,주식회사 마운틴픽쳐스,15세이상관람가,멜로/로맨스,,
