Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
38.0,355,2022-02-09,418026590.0,0.002,418026590.0,49098.0,49098.0,540.0,9796.0,미국,미국,,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",15세이상관람가,액션,사이먼 킨버그,"제시카 차스테인,다이앤 크루거,페넬로페 크루즈,루피타 뇽오,판빙빙"
39.0,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,2022-03-09,471587590.0,0.002,471587590.0,48436.0,48468.0,459.0,5557.0,일본,일본,,(주)스마일이엔티,12세이상관람가,애니메이션,나가사키 켄지,
40.0,세븐틴 파워 오브 러브 : 더 무비,2022-04-20,967402500.0,0.004,967402500.0,48383.0,48383.0,151.0,2897.0,한국,한국,씨제이포디플렉스 주식회사,"씨제이포디플렉스 주식회사,CGV ICECON",전체관람가,"공연,다큐멘터리",오윤동,"에스쿱스,정한,조슈아,준,호시,원우,우지,디에잇,민규,도겸,승관,버논,디노"
41.0,루이스 웨인: 사랑을 그린 고양이 화가,2022-04-06,409729110.0,0.002,409729110.0,43231.0,44162.0,530.0,9917.0,미국,미국,,(주)씨제이이엔엠,12세이상관람가,"드라마,멜로/로맨스",,"베네딕트 컴버배치,클레어 포이,올리비아 콜맨,토비 존스,안드레아 라이즈보로,스테이시 마틴,타이카 와이티티"
42.0,나의 촛불,2022-02-10,405835950.0,0.001,405835950.0,42123.0,42123.0,294.0,4337.0,한국,한국,주기자 유한회사,트윈플러스파트너스(주),전체관람가,다큐멘터리,"김의성,주진우","박영수,손석희,심상정,유시민,윤석열,추미애,고영태"
43.0,나이트메어 앨리,2022-02-23,401511820.0,0.001,401511820.0,40679.0,40679.0,461.0,6400.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"범죄,드라마,스릴러",기예르모 델 토로,"브래들리 쿠퍼,케이트 블란쳇,토니 콜렛,윌렘 데포,리차드 젠킨스,루니 마라,론 펄먼,메리 스틴버겐,데이빗 스트라탄"
46.0,어나더 라운드,2022-01-19,333228390.0,0.001,335831390.0,35932.0,36753.0,175.0,3427.0,기타,기타,,(주)엣나인필름,15세이상관람가,"코미디,드라마",토마스 빈터베르그,"매즈 미켈슨,토마스 보 라센"
47.0,배니싱: 미제사건,2022-03-30,301323110.0,0.001,301323110.0,35144.0,36253.0,561.0,7961.0,프랑스,프랑스,,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",15세이상관람가,"범죄,스릴러",드니 데르쿠르,"유연석,올가 쿠릴렌코,예지원,최무성,이승준,성지루,박소이"
48.0,민스미트 작전,2022-05-11,327587880.0,0.001,327587880.0,33946.0,36984.0,459.0,6547.0,미국,미국,,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",12세이상관람가,"드라마,전쟁",존 매든,"콜린 퍼스,매튜 맥퍼딘,켈리 맥도날드"
49.0,봄날,2022-04-27,226706830.0,0.001,226706830.0,31602.0,34245.0,455.0,5601.0,한국,한국,(주)엠씨엠씨,(주)콘텐츠판다,15세이상관람가,"드라마,액션",이돈구,"손현주,박혁권,손숙,정석용,박소진,정지환,이지훈,허정도,김기정,서광재,이병길,정애화,김성대,박성남,이정수,김종호,김한나,류효정,김성준,오수민,박상아,우상기,이수광,현오봉,최윤빈,남기쁨,최정태,박성인,김만호,김동욱,이상묵,이동규,정창원,안성민,유동훈,이우룡,정연신,신준호,류경현,김정원,이진호,고훈목,백승우,이은석,김영노,고기혁,홍은정,김희성,현봉식,조경현"
