Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
287.0,극장판 우당탕탕 은하안전단: 진정한 용기!,2023-11-30,257124930.0,0.0,257124930.0,34001.0,34001.0,261.0,2487.0,한국,한국,(주)마로스튜디오,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,정지훈,"김은아,엄상현,이지현,이민규,전태열,정영웅,신용우,남도형,한만중,홍소영"
288.0,스페이스 키드: 우주에서 살아남기,2022-12-07,262290350.0,0.0,262290350.0,33966.0,33966.0,290.0,1683.0,프랑스,프랑스,,"그린나래미디어(주),(주)인터파크",전체관람가,"애니메이션,어드벤처",에릭 토스티,
289.0,똑똑똑,2023-03-08,298318620.0,0.0,298318620.0,33771.0,33771.0,472.0,6259.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,스릴러",M. 나이트 샤말란,"데이브 바티스타,조나단 그로프,루퍼트 그린트"
290.0,아버지의 마음,2023-07-20,333905906.0,0.0,333905906.0,33711.0,33711.0,85.0,1001.0,한국,한국,파이오니아21,"(주)드림팩트엔터테인먼트,파이오니아21",전체관람가,다큐멘터리,김상철,신애라
291.0,몬스터 하우스2: 인비져블 피닉스,2023-02-02,294228222.0,0.0,294228222.0,33671.0,33671.0,357.0,3069.0,러시아,러시아,,(주)박수엔터테인먼트,전체관람가,"애니메이션,판타지,어드벤처",데니스 체르노프,석승훈
292.0,슈가│어거스트 디 투어 ‘디-데이’ 더 무비,2024-04-10,956481000.0,0.0,956481000.0,33604.0,33604.0,88.0,2632.0,한국,한국,(주)하이브,CGV ICECON,12세이상관람가,공연,박준수,민윤기
293.0,메이 디셈버,2024-03-13,309148799.0,0.0,309148799.0,33530.0,33530.0,400.0,4652.0,미국,미국,,판씨네마(주),청소년관람불가,드라마,토드 헤인즈,"나탈리 포트만,줄리안 무어,찰스 멜튼"
294.0,스파이더맨: 노 웨이 홈 '펀버전',2022-10-05,366375231.0,0.0,366375231.0,33457.0,33457.0,347.0,5123.0,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,SF",존 왓츠,"톰 홀랜드,젠데이아 콜먼,베네딕트 컴버배치,제이콥 배덜런,존 파브로,마리사 토메이"
295.0,몬스터 신부: 101번째 프로포즈,2022-12-28,297877600.0,0.0,297877600.0,33428.0,33428.0,226.0,2193.0,헝가리,"헝가리,러시아",,와이드 릴리즈(주),전체관람가,"애니메이션,코미디,판타지,어드벤처",,"황창영,박시윤,최정현"
296.0,극장판 파워 디지몬 더 비기닝,2023-11-29,322378200.0,0.0,322378200.0,33280.0,33280.0,197.0,2787.0,일본,일본,,에스엠지홀딩스 주식회사,12세이상관람가,애니메이션,타구치 토모히사,"카타야마 후쿠쥬로,오가타 메구미,에노키 준야"
297.0,썸머 필름을 타고!,2022-07-20,312069026.0,0.0,312069026.0,33011.0,33011.0,65.0,2408.0,일본,일본,,"(주)싸이더스,(주)블루라벨픽쳐스",전체관람가,기타,마츠모토 소우시,"이토 마리카,카네코 다이치,카와이 유미,이노리 키라라"
299.0,엔드 오브 에반게리온,2024-01-17,332354336.0,0.0,332354336.0,32578.0,32578.0,130.0,3250.0,일본,일본,,(주)라이크콘텐츠,청소년관람불가,애니메이션,"안노 히데아키,츠루마키 카즈야",
300.0,네가 떨어뜨린 푸른 하늘,2023-02-08,308030509.0,0.0,308030509.0,32116.0,32116.0,449.0,5370.0,일본,일본,,"메가박스중앙(주),(주)이놀미디어,(주)바이포엠스튜디오",12세이상관람가,"멜로/로맨스,SF",사이토 유키,"후쿠모토 리코,이타가키 미즈키"
301.0,더 메뉴,2022-12-07,329386200.0,0.0,329386200.0,32109.0,32109.0,177.0,3951.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,스릴러,마크 미로드,"랄프 파인즈,안야 테일러 조이,니콜라스 홀트,자넷 맥티어,주디스 라이트,존 레귀자모"
302.0,비투비 타임 : 비투게더 더 무비,2023-11-15,628174500.0,0.0,628174500.0,31412.0,31412.0,32.0,616.0,한국,한국,,(주)케이티알파,전체관람가,"공연,다큐멘터리",,
303.0,바튼 아카데미,2024-02-21,295171999.0,0.0,295171999.0,31366.0,31366.0,254.0,3144.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"코미디,드라마",알렉산더 페인,폴 지아마티
305.0,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,2023-10-19,262104460.0,0.0,262104460.0,30491.0,30491.0,79.0,1834.0,일본,일본,,메가박스중앙(주),전체관람가,애니메이션,니시키오리 히로시,"오노 켄쇼,하타노 와타루,호시 소이치로"
306.0,메리 마이 데드 바디,2023-05-17,346701400.0,0.0,346701400.0,30333.0,30333.0,103.0,2040.0,대만,대만,,"주식회사 원더스튜디오,(주)리안컨텐츠",12세이상관람가,"코미디,액션",청웨이하오,"허광한,임백굉,왕정,탁종화,채진남"
307.0,테일러 스위프트 디 에라스 투어,2023-11-03,839042500.0,0.0,839042500.0,30232.0,30232.0,56.0,753.0,미국,미국,,씨제이포디플렉스 주식회사,전체관람가,공연,,
308.0,어른 김장하,2023-11-15,250744972.0,0.0,250744972.0,29918.0,29918.0,98.0,1694.0,한국,한국,MBC경남,(주)시네마달,전체관람가,다큐멘터리,김현지,김장하
309.0,그레이 맨,2022-07-13,277286160.0,0.0,277286160.0,29844.0,29844.0,220.0,2936.0,미국,미국,,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,"액션,스릴러","안소니 루소,조 루소","라이언 고슬링,크리스 에반스,아나 디 아르마스,레게-장 페이지"
310.0,신 에반게리온 극장판,2022-10-05,335765987.0,0.0,335765987.0,29705.0,29705.0,93.0,2254.0,일본,일본,,(주)라이크콘텐츠,15세이상관람가,애니메이션,안노 히데아키,
311.0,극장판 윌벤져스 : 수상한 캠핑 대소동,2022-06-23,293037800.0,0.0,293037800.0,29432.0,29432.0,110.0,1097.0,한국,한국,(주)스튜디오게일,(주)대교 미디어콘텐츠사업본부,전체관람가,애니메이션,"신창환,류정우","샘 해밍턴,김서영,강시현,최한,김가령,이미자,송준석,최석필,이현,최길용,이보용,이슬비,이상준"
312.0,양자경의 더 모든 날 모든 순간,2022-11-23,312260359.0,0.0,312260359.0,29362.0,29362.0,63.0,2015.0,미국,미국,,워터홀컴퍼니(주),15세이상관람가,"액션,코미디","다니엘 콴,다니엘 쉐이너트","양자경,스테파니 수,키 호이 콴,제이미 리 커티스"
314.0,사랑은 낙엽을 타고,2023-12-20,266785881.0,0.0,266785881.0,28085.0,28085.0,40.0,1518.0,핀란드,핀란드,,찬란,12세이상관람가,멜로/로맨스,아키 카우리스마키,
316.0,여귀교- 저주를 부르는 게임,2023-11-15,252570027.0,0.0,252570027.0,27703.0,27703.0,401.0,4218.0,대만,대만,,"메가박스중앙(주),(주)스튜디오 산타클로스엔터테인먼트,(주)블레이드이엔티",15세이상관람가,공포(호러),해악륭,시백우
317.0,괴담만찬,2023-10-18,220853620.0,0.0,220853620.0,27389.0,27389.0,162.0,3697.0,한국,한국,"(주)스튜디오투유,(주)아이뉴컴퍼니","TCO(주)더콘텐츠온,(주)블루라벨픽쳐스,(주)대교 미디어콘텐츠사업본부",15세이상관람가,공포(호러),"안상훈,윤은경,김용균,임대웅,채여준","장승연,신은수,김호정,김태훈,조재윤,윤현민,장광,손지나,이주영,김주령"
318.0,이니셰린의 밴시,2023-03-15,274718301.0,0.0,274718301.0,27260.0,27260.0,135.0,2708.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"드라마,코미디",마틴 맥도나,"콜린 파렐,브렌단 글리슨,케리 콘든,배리 케오간"
319.0,파이어하트,2023-06-28,233116800.0,0.0,233116800.0,27210.0,27210.0,187.0,2452.0,프랑스,프랑스,,"(주)누리픽쳐스,(주)블루라벨픽쳐스,TCO(주)더콘텐츠온",전체관람가,"애니메이션,어드벤처,코미디,가족","시어도어 타이,로랑 제툰","엘리스 폴,뱅상 카셀"
320.0,쥬라기캅스 극장판: 공룡시대 대모험,2022-09-07,245577088.0,0.0,245577088.0,26805.0,26805.0,453.0,2984.0,한국,한국,(주)스튜디오버튼,플러스엠 엔터테인먼트,전체관람가,애니메이션,김호락,"소연,엄상현,김현욱,강은애,홍범기,황창영,이현,박리나,이인성,김영선"
321.0,리빙: 어떤 인생,2023-12-13,245881918.0,0.0,245881918.0,26734.0,26734.0,50.0,1264.0,영국,영국,,(주)티캐스트,12세이상관람가,드라마,올리버 허머너스,"빌 나이,에이미 루 우드,알렉스 샤프,톰 버크"
322.0,기적의 시작,2024-02-22,228361752.0,0.0,228361752.0,26706.0,26706.0,137.0,1689.0,한국,한국,퓨어웨이픽쳐스,퓨어웨이픽쳐스,12세이상관람가,다큐멘터리,권순도,임동진
323.0,마이 샤이니 월드,2023-11-03,584927000.0,0.0,584927000.0,26481.0,26481.0,118.0,2396.0,한국,한국,"플러스엠 엔터테인먼트,(주)에스엠엔터테인먼트",메가박스중앙(주),전체관람가,"공연,다큐멘터리",이후빈,샤이니
324.0,80일간의 세계일주,2023-09-27,229296950.0,0.0,229296950.0,26391.0,26391.0,171.0,1619.0,프랑스,프랑스,,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",전체관람가,애니메이션,,
326.0,사채소년,2023-11-22,193797300.0,0.0,193797300.0,26149.0,26149.0,211.0,3259.0,한국,한국,(주)26컴퍼니,영화사빅,15세이상관람가,"액션,드라마",황동석,"유선호,강미나,유인수,이일준,이찬형,신수현,서혜원,윤병희,김기두,김종호,최윤빈,류제승,류경현,신정윤,지웅배,이상연,김태성,천동빈,박준영,정태수,오승희,유수정,박창훈,박현세,심소영,문수영,김동희,양동선,황재필,민채연,연오,유미호,김도담,권민서,정혜진,조영지,오협,이원욱,이주미,정현구,고성,김빈,이시형,차성만,김진서,서홍민,양성준"
327.0,나의 올드 오크,2024-01-17,236338906.0,0.0,236338906.0,25741.0,25741.0,83.0,1828.0,아일랜드,아일랜드,,(주)영화사 진진,15세이상관람가,드라마,켄 로치,"데이브 터너,에블라 마리"
328.0,돌핀보이,2023-01-25,228032600.0,0.0,228032600.0,25666.0,25666.0,177.0,2698.0,독일,독일,,와이드 릴리즈(주),전체관람가,"애니메이션,가족,어드벤처",,박시윤
329.0,엔시티 네이션 : 투 더 월드 인 시네마,2023-12-06,555399000.0,0.0,555399000.0,25140.0,25140.0,87.0,2097.0,한국,한국,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사,전체관람가,"공연,다큐멘터리",오윤동,
330.0,라이스보이 슬립스,2023-04-19,219844622.0,0.0,219844622.0,24864.0,24864.0,250.0,2890.0,캐나다,캐나다,,판씨네마(주),15세이상관람가,"가족,드라마",앤소니 심,"최승윤,이든 황,도현 노엘 황,앤소니 심,강인성"
331.0,3000년의 기다림,2023-01-04,235737015.0,0.0,235737015.0,24731.0,24731.0,176.0,2521.0,호주,호주,,(주)디스테이션,15세이상관람가,"멜로/로맨스,판타지,드라마",조지 밀러,"틸다 스윈튼,이드리스 엘바"
332.0,플로라 앤 썬,2023-09-22,182027800.0,0.0,182027800.0,24613.0,24613.0,120.0,2706.0,미국,미국,,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,드라마,존 카니,"이브 휴슨,잭 레이너,조셉 고든 레빗"
333.0,극장판 검정고무신 : 즐거운 나의 집,2022-10-06,219838100.0,0.0,219838100.0,24519.0,24519.0,232.0,2147.0,한국,한국,"㈜형설앤,㈜새한프로덕션","(주)대교 미디어콘텐츠사업본부,(주)블루라벨픽쳐스",전체관람가,애니메이션,"송정율,송요한","박지윤,오인실,유해무,손정아,박영재,오수경,배정미,최정호,선은혜,서지연,석승훈,홍진욱"
